"date","open","high","close","volume"
2010-05-28,9.264000,9.264000,9.174000,815614800.000000
2010-06-01,9.275000,9.498000,9.315000,876472800.000000
2010-06-02,9.448000,9.457000,9.427000,688548000.000000
2010-06-03,9.471000,9.484000,9.397000,650106800.000000
2010-06-04,9.222000,9.354000,9.142000,758304400.000000
2010-06-07,9.225000,9.255000,8.962000,886942000.000000
2010-06-08,9.044000,9.064000,8.905000,1000770400.000000
2010-06-09,8.981000,8.996000,8.686000,854630000.000000
2010-06-10,8.744000,8.963000,8.947000,776356000.000000
2010-06-11,8.865000,9.066000,9.054000,545759200.000000
2010-06-14,9.142000,9.255000,9.082000,602960400.000000
2010-06-15,9.130000,9.280000,9.275000,585074000.000000
2010-06-16,9.325000,9.563000,9.545000,783678000.000000
2010-06-17,9.664000,9.746000,9.710000,872855200.000000
2010-06-18,9.723000,9.822000,9.788000,784621600.000000
2010-06-21,9.918000,9.965000,9.649000,776490400.000000
2010-06-22,9.720000,9.856000,9.780000,717262000.000000
2010-06-23,9.806000,9.809000,9.678000,768457200.000000
2010-06-24,9.678000,9.757000,9.607000,714277200.000000
2010-06-25,9.645000,9.652000,9.525000,549942400.000000
2010-06-28,9.533000,9.634000,9.582000,584948000.000000
2010-06-29,9.433000,9.443000,9.149000,1133344800.000000
2010-06-30,9.168000,9.213000,8.983000,739452000.000000
2010-07-01,9.082000,9.100000,8.874000,1022896000.000000
2010-07-02,8.946000,8.962000,8.819000,693842800.000000
2010-07-06,8.964000,9.028000,8.880000,615235600.000000
2010-07-07,8.946000,9.242000,9.238000,654556000.000000
2010-07-08,9.374000,9.389000,9.217000,738144400.000000
2010-07-09,9.175000,9.282000,9.272000,433322400.000000
2010-07-12,9.233000,9.352000,9.189000,562878400.000000
2010-07-13,9.154000,9.157000,8.993000,1190924000.000000
2010-07-14,8.906000,9.136000,9.026000,812047600.000000
2010-07-15,8.865000,9.178000,8.980000,824866000.000000
2010-07-16,9.042000,9.106000,8.925000,1039858400.000000
2010-07-19,8.924000,8.924000,8.771000,1024478000.000000
2010-07-20,8.675000,9.032000,8.996000,1074950800.000000
2010-07-21,9.467000,9.470000,9.080000,1185671200.000000
2010-07-22,9.203000,9.286000,9.251000,645318800.000000
2010-07-23,9.182000,9.299000,9.284000,533388800.000000
2010-07-26,9.286000,9.289000,9.260000,420551600.000000
2010-07-27,9.317000,9.457000,9.431000,584771600.000000
2010-07-28,9.417000,9.500000,9.320000,519985200.000000
2010-07-29,9.311000,9.380000,9.218000,643806800.000000
2010-07-30,9.139000,9.275000,9.188000,448210000.000000
2010-08-02,9.302000,9.378000,9.352000,428055600.000000
2010-08-03,9.322000,9.402000,9.355000,417653600.000000
2010-08-04,9.387000,9.438000,9.392000,420375200.000000
2010-08-05,9.348000,9.399000,9.347000,289097200.000000
2010-08-06,9.278000,9.339000,9.289000,444897600.000000
2010-08-09,9.338000,9.363000,9.348000,303128000.000000
2010-08-10,9.280000,9.302000,9.265000,451920000.000000
2010-08-11,9.121000,9.132000,8.935000,620054400.000000
2010-08-12,8.810000,9.039000,8.992000,534920400.000000
2010-08-13,8.988000,8.996000,8.896000,354869200.000000
2010-08-16,8.842000,8.929000,8.844000,318430000.000000
2010-08-17,8.931000,9.094000,8.999000,422640400.000000
2010-08-18,9.013000,9.095000,9.038000,339696000.000000
2010-08-19,9.030000,9.053000,8.924000,426706000.000000
2010-08-20,8.907000,9.069000,8.916000,384230000.000000
2010-08-23,8.992000,9.000000,8.778000,414041600.000000
2010-08-24,8.667000,8.678000,8.569000,602565600.000000
2010-08-25,8.502000,8.714000,8.675000,596867600.000000
2010-08-26,8.766000,8.777000,8.582000,466505200.000000
2010-08-27,8.634000,8.665000,8.629000,548391200.000000
2010-08-30,8.598000,8.777000,8.661000,383289200.000000
2010-08-31,8.637000,8.734000,8.682000,420786800.000000
2010-09-01,8.838000,8.981000,8.940000,697037600.000000
2010-09-02,8.974000,9.006000,9.006000,415427600.000000
2010-09-03,9.110000,9.242000,9.242000,520788800.000000
2010-09-07,9.166000,9.269000,9.207000,342557600.000000
2010-09-08,9.278000,9.443000,9.390000,526551200.000000
2010-09-09,9.466000,9.518000,9.395000,438575200.000000
2010-09-10,9.400000,9.447000,9.408000,387542400.000000
2010-09-13,9.493000,9.582000,9.537000,388780000.000000
2010-09-14,9.508000,9.613000,9.573000,408150400.000000
2010-09-15,9.578000,9.656000,9.651000,429368800.000000
2010-09-16,9.652000,9.881000,9.877000,652103200.000000
2010-09-17,9.918000,9.927000,9.835000,634477200.000000
2010-09-20,9.860000,10.135000,10.115000,658677600.000000
2010-09-21,10.138000,10.262000,10.135000,668074400.000000
2010-09-22,10.097000,10.285000,10.277000,585289600.000000
2010-09-23,10.226000,10.456000,10.319000,786116800.000000
2010-09-24,10.432000,10.483000,10.440000,649488000.000000
2010-09-27,10.499000,10.526000,10.399000,482834800.000000
2010-09-28,10.420000,10.420000,10.245000,1035042400.000000
2010-09-29,10.258000,10.350000,10.263000,469644000.000000
2010-09-30,10.322000,10.357000,10.134000,673391600.000000
2010-10-01,10.134000,10.235000,10.090000,448142800.000000
2010-10-04,10.057000,10.104000,9.951000,435302000.000000
2010-10-05,10.072000,10.338000,10.319000,501967200.000000
2010-10-06,10.342000,10.428000,10.328000,670868800.000000
2010-10-07,10.369000,10.374000,10.329000,408399600.000000
2010-10-08,10.418000,10.518000,10.502000,658403200.000000
2010-10-11,10.527000,10.616000,10.549000,427753200.000000
2010-10-12,10.550000,10.697000,10.662000,558544000.000000
2010-10-13,10.722000,10.784000,10.719000,630092400.000000
2010-10-14,10.775000,10.803000,10.797000,435296400.000000
2010-10-15,10.980000,11.250000,11.241000,922194000.000000
2010-10-18,11.374000,11.393000,11.357000,1093010800.000000
2010-10-19,10.836000,11.206000,11.053000,1232784000.000000
2010-10-20,11.036000,11.223000,11.090000,721624400.000000
2010-10-21,11.156000,11.241000,11.054000,551460000.000000
2010-10-22,11.038000,11.073000,10.981000,372778000.000000
2010-10-25,11.039000,11.129000,11.030000,392462000.000000
2010-10-26,10.960000,11.062000,11.002000,392929600.000000
2010-10-27,10.988000,11.068000,10.994000,399002800.000000
2010-10-28,10.998000,11.000000,10.902000,551051200.000000
2010-10-29,10.865000,10.924000,10.749000,430511200.000000
2010-11-01,10.793000,10.914000,10.864000,423889200.000000
2010-11-02,10.964000,11.078000,11.049000,433930000.000000
2010-11-03,11.120000,11.174000,11.171000,508348400.000000
2010-11-04,11.266000,11.435000,11.367000,642488000.000000
2010-11-05,11.357000,11.413000,11.326000,361253200.000000
2010-11-08,11.329000,11.420000,11.379000,281758400.000000
2010-11-09,11.466000,11.475000,11.289000,383544000.000000
2010-11-10,11.309000,11.385000,11.358000,384227200.000000
2010-11-11,11.250000,11.371000,11.309000,361284000.000000
2010-11-12,11.286000,11.303000,11.001000,795846800.000000
2010-11-15,11.017000,11.091000,10.966000,403606000.000000
2010-11-16,10.918000,10.986000,10.771000,657650000.000000
2010-11-17,10.757000,10.857000,10.732000,479449600.000000
2010-11-18,10.900000,11.060000,11.015000,494491200.000000
2010-11-19,10.999000,11.014000,10.955000,384843200.000000
2010-11-22,10.953000,11.191000,11.191000,393075200.000000
2010-11-23,11.088000,11.134000,11.026000,519447600.000000
2010-11-24,11.143000,11.264000,11.243000,413725200.000000
2010-11-26,11.205000,11.347000,11.250000,237585600.000000
2010-11-29,11.268000,11.338000,11.317000,445785200.000000
2010-11-30,11.198000,11.227000,11.113000,501858000.000000
2010-12-01,11.260000,11.348000,11.300000,461750800.000000
2010-12-02,11.340000,11.393000,11.363000,462837200.000000
2010-12-03,11.322000,11.380000,11.337000,342092800.000000
2010-12-06,11.380000,11.512000,11.434000,448481600.000000
2010-12-07,11.564000,11.571000,11.365000,391454000.000000
2010-12-08,11.415000,11.465000,11.465000,321935600.000000
2010-12-09,11.505000,11.518000,11.420000,294151200.000000
2010-12-10,11.416000,11.466000,11.448000,262511200.000000
2010-12-13,11.585000,11.609000,11.488000,439815600.000000
2010-12-14,11.490000,11.519000,11.439000,351008000.000000
2010-12-15,11.428000,11.536000,11.441000,417312000.000000
2010-12-16,11.467000,11.522000,11.473000,322030800.000000
2010-12-17,11.487000,11.492000,11.450000,386929200.000000
2010-12-20,11.486000,11.545000,11.508000,385610400.000000
2010-12-21,11.536000,11.585000,11.579000,256354000.000000
2010-12-22,11.584000,11.633000,11.613000,265921600.000000
2010-12-23,11.607000,11.613000,11.557000,223157200.000000
2010-12-27,11.530000,11.623000,11.596000,249816000.000000
2010-12-28,11.640000,11.666000,11.624000,175924000.000000
2010-12-29,11.651000,11.659000,11.617000,163139200.000000
2010-12-30,11.624000,11.625000,11.559000,157494400.000000
2010-12-31,11.534000,11.553000,11.520000,193508000.000000
2011-01-03,11.630000,11.795000,11.770000,445138400.000000
2011-01-04,11.873000,11.875000,11.832000,309080800.000000
2011-01-05,11.770000,11.941000,11.928000,255519600.000000
2011-01-06,11.954000,11.973000,11.919000,300428800.000000
2011-01-07,11.928000,12.012000,12.004000,311931200.000000
2011-01-10,12.101000,12.258000,12.230000,448560000.000000
2011-01-11,12.317000,12.320000,12.201000,444108000.000000
2011-01-12,12.259000,12.301000,12.301000,302590400.000000
2011-01-13,12.327000,12.380000,12.346000,296780400.000000
2011-01-14,12.353000,12.446000,12.446000,308840000.000000
2011-01-18,11.768000,12.313000,12.166000,1880998000.000000
2011-01-19,12.441000,12.450000,12.101000,1135612800.000000
2011-01-20,12.015000,12.082000,11.882000,764789200.000000
2011-01-21,11.920000,11.960000,11.668000,754401200.000000
2011-01-24,11.674000,12.052000,12.052000,574683200.000000
2011-01-25,12.012000,12.194000,12.193000,546868000.000000
2011-01-26,12.248000,12.343000,12.280000,506875600.000000
2011-01-27,12.278000,12.310000,12.258000,285026000.000000
2011-01-28,12.292000,12.300000,12.004000,592057200.000000
2011-01-31,11.993000,12.144000,12.118000,377246800.000000
2011-02-01,12.189000,12.345000,12.322000,426633200.000000
2011-02-02,12.302000,12.330000,12.297000,258955200.000000
2011-02-03,12.278000,12.294000,12.266000,393797600.000000
2011-02-04,12.273000,12.382000,12.375000,321840400.000000
2011-02-07,12.425000,12.616000,12.567000,485021600.000000
2011-02-08,12.632000,12.697000,12.686000,381040800.000000
2011-02-09,12.685000,12.822000,12.791000,482745200.000000
2011-02-10,12.764000,12.857000,12.662000,928550000.000000
2011-02-11,12.670000,12.778000,12.745000,367572800.000000
2011-02-14,12.742000,12.838000,12.828000,310416400.000000
2011-02-15,12.828000,12.856000,12.854000,284174800.000000
2011-02-16,12.886000,13.032000,12.969000,481157600.000000
2011-02-17,12.759000,12.867000,12.796000,530583200.000000
2011-02-18,12.811000,12.839000,12.520000,816057200.000000
2011-02-22,12.220000,12.336000,12.093000,872555600.000000
2011-02-23,12.099000,12.309000,12.236000,671854400.000000
2011-02-24,12.287000,12.327000,12.246000,499900800.000000
2011-02-25,12.331000,12.444000,12.434000,380018800.000000
2011-02-28,12.544000,12.680000,12.615000,403074000.000000
2011-03-01,12.695000,12.704000,12.475000,456136800.000000
2011-03-02,12.498000,12.655000,12.576000,602590800.000000
2011-03-03,12.757000,12.850000,12.841000,500788400.000000
2011-03-04,12.860000,12.867000,12.857000,453266800.000000
2011-03-07,12.907000,12.917000,12.691000,546123200.000000
2011-03-08,12.675000,12.764000,12.706000,356316800.000000
2011-03-09,12.668000,12.670000,12.588000,453306000.000000
2011-03-10,12.469000,12.492000,12.381000,507539200.000000
2011-03-11,12.333000,12.583000,12.571000,471080400.000000
2011-03-14,12.614000,12.732000,12.627000,435957200.000000
2011-03-15,12.218000,12.423000,12.337000,721081200.000000
2011-03-16,12.214000,12.250000,11.786000,1162011200.000000
2011-03-17,12.030000,12.129000,11.951000,659422400.000000
2011-03-18,12.040000,12.079000,11.810000,753214000.000000
2011-03-21,12.000000,12.133000,12.118000,409402000.000000
2011-03-22,12.234000,12.236000,12.186000,325922800.000000
2011-03-23,12.117000,12.151000,12.114000,372996400.000000
2011-03-24,12.209000,12.357000,12.320000,404712000.000000
2011-03-25,12.431000,12.573000,12.555000,448910000.000000
2011-03-28,12.613000,12.654000,12.516000,309355200.000000
2011-03-29,12.416000,12.534000,12.534000,352900800.000000
2011-03-30,12.523000,12.531000,12.451000,329406000.000000
2011-03-31,12.370000,12.493000,12.447000,274019200.000000
2011-04-01,12.540000,12.557000,12.306000,418661600.000000
2011-04-04,12.297000,12.307000,12.185000,460084800.000000
2011-04-05,12.035000,12.223000,12.103000,482731200.000000
2011-04-06,12.187000,12.282000,12.073000,402539200.000000
2011-04-07,12.075000,12.158000,12.074000,373447200.000000
2011-04-08,12.140000,12.148000,11.966000,377535200.000000
2011-04-11,11.931000,11.988000,11.814000,398946800.000000
2011-04-12,11.803000,11.919000,11.871000,425639200.000000
2011-04-13,11.965000,12.005000,12.005000,346220000.000000
2011-04-14,11.957000,12.000000,11.872000,301800800.000000
2011-04-15,11.903000,11.916000,11.695000,453605600.000000
2011-04-18,11.646000,11.865000,11.852000,609898800.000000
2011-04-19,11.896000,12.071000,12.066000,419378400.000000
2011-04-20,12.268000,12.348000,12.229000,700666400.000000
2011-04-21,12.678000,12.683000,12.525000,753810400.000000
2011-04-25,12.512000,12.634000,12.607000,266546000.000000
2011-04-26,12.629000,12.678000,12.515000,338800000.000000
2011-04-27,12.580000,12.584000,12.505000,356213200.000000
2011-04-28,12.364000,12.491000,12.384000,360959200.000000
2011-04-29,12.385000,12.641000,12.505000,1006345200.000000
2011-05-02,12.491000,12.517000,12.367000,442713600.000000
2011-05-03,12.428000,12.496000,12.436000,313348000.000000
2011-05-04,12.438000,12.565000,12.485000,389250400.000000
2011-05-05,12.443000,12.534000,12.384000,335969200.000000
2011-05-06,12.489000,12.500000,12.381000,280134400.000000
2011-05-09,12.424000,12.472000,12.414000,204747200.000000
2011-05-10,12.460000,12.489000,12.480000,282091600.000000
2011-05-11,12.465000,12.500000,12.401000,336000000.000000
2011-05-12,12.361000,12.397000,12.377000,322000000.000000
2011-05-13,12.345000,12.366000,12.161000,326116000.000000
2011-05-16,12.114000,12.187000,11.903000,449775200.000000
2011-05-17,11.857000,12.005000,12.005000,452334400.000000
2011-05-18,12.017000,12.180000,12.138000,334776400.000000
2011-05-19,12.217000,12.229000,12.162000,261170000.000000
2011-05-20,12.127000,12.177000,11.972000,337968400.000000
2011-05-23,11.785000,11.999000,11.943000,383600000.000000
2011-05-24,11.982000,11.996000,11.864000,321927200.000000
2011-05-25,11.908000,12.091000,12.028000,294224000.000000
2011-05-26,11.999000,12.032000,11.964000,222560800.000000
2011-05-27,11.957000,12.058000,12.050000,203599200.000000
2011-05-31,12.182000,12.422000,12.422000,417754400.000000
2011-06-01,12.460000,12.576000,12.340000,554682800.000000
2011-06-02,12.375000,12.428000,12.361000,338783200.000000
2011-06-03,12.257000,12.333000,12.266000,313250000.000000
2011-06-06,12.316000,12.395000,12.073000,461941200.000000
2011-06-07,12.078000,12.079000,11.858000,529785200.000000
2011-06-08,11.849000,11.957000,11.866000,333723600.000000
2011-06-09,11.902000,11.917000,11.839000,275088800.000000
2011-06-10,11.805000,11.845000,11.639000,433955200.000000
2011-06-13,11.686000,11.725000,11.664000,329473200.000000
2011-06-14,11.786000,11.902000,11.873000,334569200.000000
2011-06-15,11.777000,11.796000,11.670000,399196000.000000
2011-06-16,11.675000,11.739000,11.613000,510591200.000000
2011-06-17,11.750000,11.759000,11.438000,615020000.000000
2011-06-20,11.334000,11.347000,11.261000,640645600.000000
2011-06-21,11.310000,11.636000,11.618000,493382400.000000
2011-06-22,11.613000,11.746000,11.522000,390583200.000000
2011-06-23,11.391000,11.846000,11.830000,559759200.000000
2011-06-24,11.835000,11.898000,11.655000,439807200.000000
2011-06-27,11.700000,11.925000,11.858000,339813600.000000
2011-06-28,11.916000,12.025000,11.973000,294299600.000000
2011-06-29,12.002000,12.013000,11.930000,352545200.000000
2011-06-30,11.954000,12.005000,11.988000,322954800.000000
2011-07-01,11.998000,12.268000,12.259000,435313200.000000
2011-07-05,12.250000,12.494000,12.480000,355054000.000000
2011-07-06,12.463000,12.646000,12.563000,444626000.000000
2011-07-07,12.667000,12.786000,12.757000,399663600.000000
2011-07-08,12.619000,12.857000,12.847000,489633200.000000
2011-07-11,12.726000,12.849000,12.643000,442674400.000000
2011-07-12,12.626000,12.774000,12.634000,451609200.000000
2011-07-13,12.797000,12.857000,12.787000,391638800.000000
2011-07-14,12.893000,12.915000,12.777000,430533600.000000
2011-07-15,12.899000,13.036000,13.033000,484467200.000000
2011-07-18,13.051000,13.380000,13.350000,572653200.000000
2011-07-19,13.500000,13.523000,13.459000,819145600.000000
2011-07-20,14.147000,14.152000,13.818000,941340400.000000
2011-07-21,13.820000,13.931000,13.832000,526534400.000000
2011-07-22,13.868000,14.109000,14.046000,516728800.000000
2011-07-25,13.941000,14.286000,14.232000,589806000.000000
2011-07-26,14.286000,14.447000,14.408000,476582400.000000
2011-07-27,14.307000,14.380000,14.021000,659324400.000000
2011-07-28,13.986000,14.178000,13.993000,594034000.000000
2011-07-29,13.844000,14.113000,13.946000,632584400.000000
2011-08-01,14.207000,14.268000,14.170000,612836000.000000
2011-08-02,14.202000,14.211000,13.890000,639539600.000000
2011-08-03,13.963000,14.055000,14.020000,732508000.000000
2011-08-04,13.908000,13.976000,13.477000,871407600.000000
2011-08-05,13.587000,13.697000,13.344000,1204590800.000000
2011-08-08,12.918000,13.135000,12.615000,1143833600.000000
2011-08-09,12.903000,13.379000,13.357000,1082583600.000000
2011-08-10,13.255000,13.380000,12.989000,878656800.000000
2011-08-11,13.233000,13.409000,13.347000,741969200.000000
2011-08-12,13.502000,13.559000,13.464000,528976000.000000
2011-08-15,13.558000,13.749000,13.693000,460544000.000000
2011-08-16,13.626000,13.692000,13.588000,498750000.000000
2011-08-17,13.654000,13.733000,13.587000,442061200.000000
2011-08-18,13.244000,13.309000,13.073000,851435200.000000
2011-08-19,12.935000,13.107000,12.715000,775888400.000000
2011-08-22,13.018000,13.031000,12.730000,535315200.000000
2011-08-23,12.868000,13.344000,13.343000,656835200.000000
2011-08-24,13.338000,13.534000,13.435000,626267600.000000
2011-08-25,13.039000,13.409000,13.347000,871346000.000000
2011-08-26,13.256000,13.707000,13.699000,641477200.000000
2011-08-29,13.864000,13.982000,13.928000,405269200.000000
2011-08-30,13.866000,13.994000,13.928000,417922400.000000
2011-08-31,13.949000,14.003000,13.744000,522586400.000000
2011-09-01,13.779000,13.834000,13.608000,343725200.000000
2011-09-02,13.383000,13.500000,13.359000,438939200.000000
2011-09-06,13.120000,13.583000,13.562000,509698000.000000
2011-09-07,13.770000,13.771000,13.712000,350576800.000000
2011-09-08,13.657000,13.879000,13.719000,416158400.000000
2011-09-09,13.712000,13.786000,13.482000,564813200.000000
2011-09-12,13.425000,13.603000,13.569000,467832400.000000
2011-09-13,13.648000,13.793000,13.736000,440560400.000000
2011-09-14,13.822000,14.008000,13.903000,534724400.000000
2011-09-15,13.980000,14.059000,14.034000,417818800.000000
2011-09-16,14.127000,14.304000,14.303000,698513200.000000
2011-09-19,14.178000,14.758000,14.701000,823860800.000000
2011-09-20,14.830000,15.102000,14.766000,775754000.000000
2011-09-21,14.987000,15.057000,14.719000,605976000.000000
2011-09-22,14.322000,14.636000,14.351000,968480800.000000
2011-09-23,14.296000,14.527000,14.439000,546277200.000000
2011-09-26,14.281000,14.428000,14.399000,812876400.000000
2011-09-27,14.598000,14.616000,14.259000,632497600.000000
2011-09-28,14.293000,14.419000,14.179000,429637600.000000
2011-09-29,14.354000,14.365000,13.949000,651086800.000000
2011-09-30,13.826000,13.889000,13.618000,547640800.000000
2011-10-03,13.585000,13.666000,13.379000,669099200.000000
2011-10-04,13.377000,13.636000,13.303000,1233677200.000000
2011-10-05,13.138000,13.565000,13.509000,786469600.000000
2011-10-06,13.333000,13.742000,13.477000,812582400.000000
2011-10-07,13.421000,13.491000,13.207000,535458000.000000
2011-10-10,13.539000,13.886000,13.886000,442514800.000000
2011-10-11,14.020000,14.399000,14.296000,605687600.000000
2011-10-12,14.548000,14.616000,14.364000,622286000.000000
2011-10-13,14.463000,14.587000,14.587000,426185200.000000
2011-10-14,14.887000,15.072000,15.072000,573367200.000000
2011-10-17,15.062000,15.239000,15.000000,686044800.000000
2011-10-18,15.063000,15.172000,15.080000,881602400.000000
2011-10-19,14.334000,14.586000,14.236000,1104059600.000000
2011-10-20,14.286000,14.298000,14.118000,549270400.000000
2011-10-21,14.218000,14.255000,14.031000,621244400.000000
2011-10-24,14.149000,14.518000,14.492000,502138000.000000
2011-10-25,14.465000,14.520000,14.206000,430427200.000000
2011-10-26,14.348000,14.377000,14.307000,456304800.000000
2011-10-27,14.556000,14.607000,14.453000,494664800.000000
2011-10-28,14.393000,14.512000,14.463000,322842800.000000
2011-10-31,14.372000,14.619000,14.457000,385501200.000000
2011-11-01,14.193000,14.268000,14.161000,531790000.000000
2011-11-02,14.289000,14.302000,14.193000,327350800.000000
2011-11-03,14.252000,14.407000,14.395000,441386400.000000
2011-11-04,14.358000,14.409000,14.294000,302229200.000000
2011-11-07,14.283000,14.286000,14.276000,270275600.000000
2011-11-08,14.365000,14.572000,14.508000,400442000.000000
2011-11-09,14.178000,14.318000,14.117000,558684000.000000
2011-11-10,14.180000,14.186000,13.758000,744752400.000000
